ID,Fase,Detalle,Partido,Goles_Real_1,Goles_Real_2,Lizeth_G1,Lizeth_G2,Kevin_G1,Kevin_G2,Yudi_G1,Yudi_G2,Diana_G1,Diana_G2,Yaritza_G1,Yaritza_G2,Álvaro_G1,Álvaro_G2,Francisco_G1,Francisco_G2,Harold_G1,Harold_G2,Alejandra_G1,Alejandra_G2,Karina_G1,Karina_G2,Milena_G1,Milena_G2
P1,Fase de Grupos,11/06/2026,Méx vs Sud,2,0,2,0,2,0,2,1,2,0,1,0,2,1,2,1,2,1,2,0,2,0,3,2
P2,Fase de Grupos,11/06/2026,Core vs Rep. Ch.,2,1,1,0,1,0,1,0,1,1,2,1,2,0,2,0,2,0,1,1,2,1,2,2
